dot_number,company_fit_score,expert_label,true_label,pred_label
2666587,0.7,BAD,0,1
2668050,0.7,BAD,0,1
2672689,0.7,GOOD,1,1
2674321,0.7,BAD,0,1
2674952,0.7,GOOD,1,1
2676852,0.7,GOOD,1,1
2678052,0.7,BAD,0,1
2679042,0.7,GOOD,1,1
2681845,0.7,GOOD,1,1
2682555,0.7,BAD,0,1
2683060,0.7,BAD,0,1
2683105,0.7,GOOD,1,1
2683576,0.7,GOOD,1,1
2683654,0.7,GREAT,1,1
2686001,0.7,GOOD,1,1
2686431,0.7,BAD,0,1
2687194,0.7,GOOD,1,1
2690052,0.7,BAD,0,1
2690567,0.7,GOOD,1,1
2690974,0.7,GOOD,1,1
2691536,0.7,BAD,0,1
2692898,0.7,GOOD,1,1
2693472,0.7,GOOD,1,1
2693998,0.7,GOOD,1,1
2695620,0.7,BAD,0,1
2697244,0.7,GOOD,1,1
2698657,0.7,BAD,0,1
2699017,0.7,GOOD,1,1
2700027,0.7,BAD,0,1
2704122,0.7,GOOD,1,1
2707232,0.7,BAD,0,1
2707812,0.7,BAD,0,1
2712781,0.7,BAD,0,1
2718908,0.7,BAD,0,1
2719269,0.7,BAD,0,1
2727480,0.7,BAD,0,1
2730694,0.7,BAD,0,1
2730944,0.7,GOOD,1,1
2734147,0.7,GOOD,1,1
2734816,0.7,BAD,0,1
2735491,0.7,GOOD,1,1
2739427,0.7,GOOD,1,1
2740119,0.7,BAD,0,1
2752590,0.7,GOOD,1,1
2759146,0.7,GOOD,1,1
2762434,0.7,BAD,0,1
2763312,0.7,GOOD,1,1
2763668,0.7,BAD,0,1
2764104,0.7,BAD,0,1
2764978,0.7,GOOD,1,1
2767808,0.7,GOOD,1,1
2768336,0.7,GOOD,1,1
2769635,0.7,BAD,0,1
2769798,0.7,BAD,0,1
2770559,0.7,GOOD,1,1
2774014,0.7,OK,0,1
2775990,0.7,GOOD,1,1
2780248,0.7,BAD,0,1
2802940,0.7,BAD,0,1
2805075,0.7,BAD,0,1
2806074,0.7,BAD,0,1
2807678,0.7,GOOD,1,1
2810060,0.7,BAD,0,1
2822401,0.7,GREAT,1,1
2824672,0.7,BAD,0,1
2827183,0.7,BAD,0,1
2848081,0.7,GOOD,1,1
2850629,0.7,GOOD,1,1
2856222,0.7,BAD,0,1
2865965,0.7,BAD,0,1
2866237,0.7,GOOD,1,1
2867088,0.7,GOOD,1,1
2876126,0.7,BAD,0,1
2877047,0.7,BAD,0,1
2887751,0.7,BAD,0,1
2900721,0.7,BAD,0,1
2900851,0.7,BAD,0,1
2907833,0.7,BAD,0,1
2923315,0.7,BAD,0,1
2946740,0.7,GOOD,1,1
2978646,0.7,BAD,0,1
2980980,0.7,GOOD,1,1
2983716,0.7,BAD,0,1
2994411,0.7,BAD,0,1
2998332,0.7,BAD,0,1
3011059,0.7,GOOD,1,1
3014976,0.7,GOOD,1,1
3018294,0.7,BAD,0,1
3045487,0.7,BAD,0,1
3056035,0.7,BAD,0,1
3063306,0.7,GOOD,1,1
3063877,0.7,GOOD,1,1
3067717,0.7,GREAT,1,1
3079561,0.7,BAD,0,1
3087212,0.7,GOOD,1,1
3087500,0.7,GOOD,1,1
3088761,0.7,GOOD,1,1
3091813,0.7,GOOD,1,1
3129583,0.7,GREAT,1,1
3133550,0.7,GOOD,1,1
3138788,0.7,BAD,0,1
3138977,0.7,GOOD,1,1
3141737,0.7,BAD,0,1
3142729,0.7,BAD,0,1
3163973,0.7,BAD,0,1
3164226,0.7,GOOD,1,1
3165845,0.7,BAD,0,1
3177601,0.7,BAD,0,1
3185115,0.7,GOOD,1,1
3186547,0.7,BAD,0,1
3210029,0.7,GOOD,1,1
3217495,0.7,GOOD,1,1
3218846,0.7,BAD,0,1
3220124,0.7,BAD,0,1
3227012,0.7,GOOD,1,1
3229166,0.7,BAD,0,1
3233405,0.7,BAD,0,1
3236490,0.7,OK,0,1
3240058,0.7,BAD,0,1
3245343,0.7,BAD,0,1
3247672,0.7,BAD,0,1
3247855,0.7,GOOD,1,1
3249577,0.7,BAD,0,1
3251904,0.7,BAD,0,1
3254709,0.7,BAD,0,1
3261152,0.7,GOOD,1,1
3263476,0.7,GOOD,1,1
3272559,0.7,BAD,0,1
3274004,0.7,GOOD,1,1
3274474,0.7,GREAT,1,1
3276499,0.7,BAD,0,1
3278583,0.7,BAD,0,1
3281523,0.7,BAD,0,1
3286327,0.7,BAD,0,1
3294286,0.7,GOOD,1,1
3307859,0.7,BAD,0,1
3313354,0.7,BAD,0,1
3315327,0.7,BAD,0,1
3319539,0.7,BAD,0,1
3321610,0.7,BAD,0,1
